Date,Open,High,Low,Close,Adj Close,Volume
2012-09-06,187.629059,190.688339,187.485657,190.344162,128.249741,4112558
2012-09-07,190.363297,190.726578,189.369019,190.726578,128.50737,3570730
2012-09-10,190.621414,192.94455,189.990433,192.112808,129.441437,4401568
2012-09-11,191.730408,194.512421,191.692154,194.33078,130.935806,4090488
2012-09-12,194.569794,195.650101,194.034424,194.808792,131.257904,3435064
2012-09-13,195.391968,197.715103,194.512421,197.284897,132.926315,4058062
2012-09-14,197.170166,198.518158,196.988525,197.715103,133.216095,4243727
2012-09-17,196.510513,198.843216,196.510513,198.040146,133.435059,3425755
2012-09-18,197.782028,198.738052,197.399612,197.963669,133.383575,2590001
2012-09-19,198.422562,198.441681,196.950287,197.351822,132.97139,2725458
2012-09-20,196.797318,197.887192,196.271515,197.112808,132.810333,3911099
2012-09-21,198.240921,198.79541,196.864243,196.9216,132.681488,13358989
2012-09-24,196.00383,196.998093,195.889099,196.261948,132.237015,3672611
2012-09-25,196.558319,198.202682,195.936905,195.965576,132.037323,3499079
2012-09-26,196.032501,196.9216,194.933075,195.028687,131.406052,3580772
2012-09-27,195.382416,197.801147,195.162521,196.854691,132.636368,2899407
2012-09-28,196.615677,199.158707,196.281067,198.326965,133.628326,5136801
2012-10-01,198.862335,202.437866,198.79541,201.214142,135.573715,5707917
2012-10-02,201.682602,202.170166,199.33078,200.611862,135.167862,3473766
2012-10-03,200.707458,202.007645,200.095596,201.252396,135.599426,3339146
2012-10-04,201.032501,201.692154,199.359467,201.137665,135.522125,3093545
2012-10-05,201.864243,202.476105,200.822174,201.328873,135.650986,2989886
2012-10-08,200.783936,201.376678,200.009567,200.592728,135.155029,2073800
2012-10-09,200.71701,201.472275,198.565964,198.843216,133.976212,3745098
2012-10-10,198.680695,199.072662,196.032501,196.768646,132.57843,4209627
2012-10-11,197.485657,198.154877,196.587006,196.711288,132.539825,3043860
2012-10-12,196.596558,198.814529,196.520081,198.661575,133.853836,2836752
2012-10-15,199.694077,200.191208,198.680695,199.741867,134.581711,3201701
2012-10-16,200.707458,201.72084,200.258133,201.72084,135.915085,5891177
2012-10-17,192.361374,194.46463,189.818359,191.806885,129.235306,13256899
2012-10-18,191.118546,191.338425,185.53537,186.38623,125.582932,9723511
2012-10-19,186.701721,187.456985,184.684509,184.856598,124.552345,6924834
2012-10-22,185.191208,186.118546,183.977051,185.850861,125.222244,4605015
2012-10-23,185.019119,185.468445,182.543015,182.839386,123.193222,4631060
2012-10-24,183.977051,184.789673,182.179733,182.332703,122.851799,3909948
2012-10-25,182.992355,183.977051,182.323135,183.173996,123.41864,3399082
2012-10-26,183.068832,185.344162,183.049713,184.770554,124.494385,4190799
2012-10-31,186.233276,187.772461,185.114716,185.975143,125.306,6330706
2012-11-01,186.118546,189.187378,185.994263,188.479919,126.99366,3931705
2012-11-02,188.843216,189.292542,184.789673,184.923523,124.59745,4456065
2012-11-05,183.900574,186.395798,183.565964,185.602295,125.054756,2862065
2012-11-06,186.673035,188.097519,186.118546,186.491394,125.653809,3431926
2012-11-07,184.856598,185.162521,182.753342,182.753342,123.67411,4964525
2012-11-08,182.982788,183.374756,181.730408,181.73996,122.988297,3705141
2012-11-09,181.500961,183.212234,180.573608,181.300186,122.690727,3840494
2012-11-12,181.673035,182.380493,179.168259,180.927338,122.438423,3208500
2012-11-13,180.105164,182.485657,179.971313,180.038239,121.836746,3563408
2012-11-14,180.822174,180.946457,177.131927,177.351822,120.018776,4607002
2012-11-15,177.657745,178.967499,176.653915,177.676865,120.238716,3568638
2012-11-16,178.135757,179.311661,176.959854,178.718933,120.943901,4875197
2012-11-19,180.325043,182.017212,180.019119,181.978973,123.150085,3753989
2012-11-20,181.529633,181.749527,179.971313,180.879547,122.406067,3316029
2012-11-21,180.975143,182.495224,180.640533,181.9216,123.111244,5428322
2012-11-23,182.600388,184.980881,182.40918,184.980881,125.181541,4055970
2012-11-26,183.986618,184.86615,183.336517,184.397705,124.786919,5449974
2012-11-27,183.632889,184.560226,182.600388,182.820267,123.719391,3442281
2012-11-28,182.581268,183.59465,180.946457,183.537292,124.204628,3769366
2012-11-29,184.273422,184.416824,181.835571,183.107071,123.91346,4265483
2012-11-30,183.317398,183.556412,181.166351,181.711288,122.96891,5163474
